INDICADOR,RESULTADO TJMG,MÉDIA JUSTIÇA ESTADUAL,RESULTADO TJSP,RESULTADO TJRJ,POLARI-DADE
Percentual de execuções fiscais pendentes em relação ao total de processos pendentes,7.4%,28.9%,45.2%,39.1%,Menor melhor
Número de casos novos por mil habitantes,94.5,127.3,144.5,139.3,Menor melhor
Índice de conciliação,12.9%,9.5%,5.9%,8.5%,Maior melhor
Índice de Conciliação na fase de conhecimento não criminal no primeiro grau,21.6%,17.9%,15.4%,18.1%,Maior melhor
Índice de Conciliação de processos de execução de títulos extrajudiciais não fiscais,29.1%,28.7%,22.4%,25.7%,Maior melhor
Índice de Conciliação de processos de execução judicial e no Primeiro Grau,17.0%,12.0%,8.0%,9.0%,Maior melhor
Percentual de audiências de conciliação por casos novos,52.9%,30.6%,3.8%,32.0%,Maior melhor
Índices de recorribilidade interna no segundo grau,7.5%,7.9%,0.0%,24.0%,Menor melhor
Índices de recorribilidade externa no segundo grau,0.0%,5.9%,0.0%,11.4%,Menor melhor
Índices de recorribilidade externa na fase de conhecimento do primeiro grau,19.1%,23.0%,26.0%,23.1%,Menor melhor
Tempo médio de tramitação dos processos pendentes ,2 anos e 10 meses,4 anos e 1 mês,5 anos e 5 meses,3 anos e 10 meses,Menor melhor
Tempo médio de tramitação dos processos baixados,2 anos,2 anos e 8 meses,3 anos e 8 meses,3 anos e 9 meses,Menor melhor
Tempo médio do início do processo até a sentença no primeiro grau,2 anos e 6 meses,3 anos e 4 meses,4 anos e 7 meses,3 anos e 8 meses,Menor melhor
Tempo médio do início do processo até a sentença nas fases de conhecimento no primeiro grau,1 ano e 9 meses,1 ano e 6 meses,1 ano e 2 meses,1 ano e 9 meses,Menor melhor
Tempo médio de tramitação dos processos pendentes no segundo grau,1 ano e 10 meses,2 anos e 1 mês,4 anos e 7 meses,1 ano e 1 mês,Menor melhor
Tempo médio de tramitação dos processos baixados no segundo grau,6 meses,8 meses,8 meses,8 meses,Menor melhor
Tempo médio de tramitação dos processos pendentes na fase de conhecimento de primeiro grau,2 anos e 6 meses,2 anos e 11 meses,3 anos e 11 meses,2 anos e 11 meses,Menor melhor
Tempo médio de tramitação dos processos baixados na fase de conhecimento de primeiro grau,2 anos,1 ano e 11 meses,2 anos,2 anos,Menor melhor
Tempo médio de tramitação dos processos pendentes na fase de execução de primeiro grau,3 anos e 7 meses,5 anos e 3 meses,6 anos,4 anos e 9 meses,Menor melhor
Tempo médio de tramitação dos processos baixados na fase de execução de primeiro grau,2 anos e 6 meses,3 anos e 11 meses,4 anos e 10 meses,5 anos e 8 meses,Menor melhor
Tempo médio bruto de tramitação dos processos pendentes. excluídas as execuções,2 anos e 5 meses,2 anos e 10 meses,4 anos,2 anos e 10 meses,Menor melhor
Tempo médio líquido de tramitação dos processos pendentes. excluídas as execuções,2 anos,2 anos e 3 meses,2 anos e 11 meses,2 anos e 7 meses,Menor melhor
Tempo de tramitação do processo baixado na execução fiscal,4 anos e 8 meses,7 anos,7 anos e 5 meses,7 anos e 7 meses,Menor melhor
Tempo de tramitação do acervo de execução fiscal,4 anos e 10 meses,6 anos e 8 meses,7 anos e 2 meses,5 anos e 3 meses,Menor melhor
